name,clade,class
ERV1-1C_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-2-I_DR,ERV1,Endogenous Retrovirus
ERV1-2-LTR_DR,ERV1,Endogenous Retrovirus
ERV1-2B-LTR_DR,ERV1,Endogenous Retrovirus
ERV1-3-I_DR,ERV1,Endogenous Retrovirus
ERV1-3-LTR_DR,ERV1,Endogenous Retrovirus
ERV1-3B_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-3C_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-4_DR-I,ERV1,Endogenous Retrovirus
ERV1-4_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-5_DR-I,ERV1,Endogenous Retrovirus
ERV1-5_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-6_DR-I,ERV1,Endogenous Retrovirus
ERV1-7_DR-I,ERV1,Endogenous Retrovirus
ERV1-7_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-8_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-9_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-I_DR,ERV1,Endogenous Retrovirus
ERV1-LTR_DR,ERV1,Endogenous Retrovirus
ERV1-N1-I_DR,ERV1,Endogenous Retrovirus
ERV1-N1-LTR_DR,ERV1,Endogenous Retrovirus
ERV1-N10_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-N11_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-N12_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-N13_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-N1B_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-N1C_DR-LTR,ERV1,Endogenous Retrovirus
ERV1-N2-I_DR,ERV1,Endogenous Retrovirus
ERV1-N2-LTR_DR,ERV1,Endogenous Retrovirus
ERV1-N3-I_DR,ERV1,Endogenous Retrovirus
ERV1-N3-LTR_DR,ERV1,Endogenous Retrovirus
ERV1-N3B-LTR_DR,ERV1,Endogenous Retrovirus
